0.000   1
0.100   0.904837
0.200   0.818731
0.300   0.740818
0.400   0.67032
0.500   0.606531
0.600   0.548812
0.700   0.496586
0.800   0.449329
0.900   0.40657
1.000   0.36788
1.100   0.332871
1.200   0.301195
1.300   0.272532
1.400   0.246597
1.500   0.22313
1.600   0.201897
1.700   0.182684
1.800   0.165299
1.900   0.149569
2.000   0.135336
2.100   0.122457
2.200   0.110803
2.300   0.100259
2.400   0.0907182
2.500   0.0820852
2.600   0.0742738
2.700   0.0672057
2.800   0.0608102
2.900   0.0550234
3.000   0.0497872
3.100   0.0450493
3.200   0.0407623
3.300   0.0368833
3.400   0.0333734
3.500   0.0301975
3.600   0.0273238
3.700   0.0247236
3.800   0.0223708
3.900   0.020242
4.000   0.0183157
4.100   0.0165727
4.200   0.0149956
4.300   0.0135686
4.400   0.0122774
4.500   0.011109
4.600   0.0100519
4.700   0.00909532
4.800   0.00822978
4.900   0.00744662
5.000   0.00673798
5.100   0.00609677
5.200   0.00551659
5.300   0.00499162
5.400   0.0045166
5.500   0.00408679
5.600   0.00369788
5.700   0.00334598
5.800   0.00302757
5.900   0.00273946
6.000   0.00247877
6.100   0.00224288
6.200   0.00202944
6.300   0.00183632
6.400   0.00166157
6.500   0.00150345
6.600   0.00136038
6.700   0.00123092
6.800   0.00111378
6.900   0.00100779
7.000   0.000911888
